          7
   1   1   2 1.0 (NOTE : THESE CONSTITUENTS WERE USED FOR PREDICTION UPTO YEAR
                         2000, NEW CONSTITUENTS ARE GIVEN BELOW THESE CONSTITUENTS)
        VISAKHAPATNAM - INDIA,EAST COAST
 -0530
LAT. 17 41 N. LONG. 83 17 E.
PORT   ZO 0836YEAR94YDAY  1FSTD  1ENDD372NDC 60OTH   SWC   STEP010 VISAKHAPAT  8
0.1879186.20                0.04107                                            1
0.1007118.52                0.08214                                            2
0.0045169.70                0.54437                                            3
0.0049008.13                1.01590                                            4
0.0148031.43                1.09803                                            5
0.0013061.37               12.85429                                            6
0.0014036.03               12.92714                                            7
0.0013341.57               13.39866                                            8
0.0006018.43               13.47151                                            9
0.0407320.48               13.94304                                           10
0.0021016.70               14.02517                                           11
0.0031352.61               14.49205                                           12
0.0014342.90               14.56955                                           13
0.0029347.90               14.91786                                           14
0.0349337.25               14.95893                                           15
0.0097068.96               15.00000                                           16
0.1128336.41               15.04107                                           17
0.0021330.95               15.08214                                           18
0.0013012.99               15.12321                                           19
0.0018308.16               15.51259                                           20
0.0062326.88               15.58544                                           21
0.0008255.96               16.05696                                           22
0.0069329.32               16.13910                                           23
0.0014236.31               27.34170                                           24
0.0028184.09               27.42383                                           25
0.0149208.46               27.89535                                           26
0.0119195.09               27.96821                                           27
0.1011231.02               28.43973                                           28
0.0205234.92               28.51258                                           29
0.0017035.54               28.90197                                           30
0.4752238.98               28.98410                                           31
0.0049058.24               29.06624                                           32
0.0024271.36               29.45563                                           33
0.0154260.29               29.52848                                           34
0.0108270.00               29.95893                                           35
0.2086274.23               30.00000                                           36
0.0013331.39               30.04107                                           37
0.0562273.26               30.08214                                           38
0.0029167.90               30.54437                                           39
0.0034083.29               30.62651                                           40
0.0062213.18               31.01590                                           41
0.0006329.03               42.92714                                           42
0.0023357.51               43.47616                                           43
0.0001045.00               43.94304                                           44
0.0010066.04               44.02517                                           45
0.0044065.77               45.04107                                           46
0.0004075.96               57.42383                                           47
0.0016034.70               57.96821                                           48
0.0003045.00               58.43973                                           49
0.0012165.96               58.98410                                           50
0.0007033.69               59.06624                                           51
0.0004180.00               60.00000                                           52
0.0002026.57               60.08214                                           53
0.0006045.00               86.40794                                           54
0.0013071.53               86.95231                                           55
0.0005143.13               87.42383                                           56
0.0009180.00               87.96821                                           57
0.0005191.31               88.05035                                           58
0.0003315.00               88.98410                                           59
0.0005306.87               89.06624                                           60

   1   1   2 1.0  (NOTE : THESE CONSTITUENTS WERE USED FOR PREDICTION FROM YEAR 2001-2002)
